,fluorophore,site,sample.type,substrate,replicate,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0,v0.se
394,AMC,volunteer landing,filter,GGR-AMC,3,-895.8976744,202004.56,NA,NA,NA,1,2,1063.20883,-0.84263566,NA
395,AMC,volunteer landing,filter,GGR-AMC,k,-2964.809302,194311.57,NA,NA,NA,1,2,1063.20883,-2.788548419,NA
396,AMC,volunteer landing,filter,Pyr-AMC,1,-490.2418605,142377.34,NA,NA,NA,1,2,1063.20883,-0.461096491,NA
397,AMC,volunteer landing,whole,Gly-AMC,k,-606.2093023,133694.26,NA,NA,NA,1,2,1073.151245,-0.564887107,NA
398,AMC,volunteer landing,whole,Arg-AMC,1,8024.260465,111116.06,NA,NA,NA,1,2,1073.151245,7.47728757,NA
399,AMC,volunteer landing,whole,Arg-AMC,2,8480.916279,99756.62,NA,NA,NA,1,2,1073.151245,7.902815487,NA
400,AMC,volunteer landing,whole,Leu-AMC,k,-271.2,99768.28,NA,NA,NA,1,2,1073.151245,-0.25271368,NA
401,AMC,volunteer landing,whole,Arg-AMC,k,-2155.269767,97199.57,NA,NA,NA,1,2,1073.151245,-2.008356024,NA
402,AMC,volunteer landing,whole,Gly-AMC,1,11480.8186,189715,NA,NA,NA,1,2,1073.151245,10.69822978,NA
403,AMC,volunteer landing,whole,Gly-AMC,2,13015.50698,193666.43,NA,NA,NA,1,2,1073.151245,12.12830627,NA
404,AMC,volunteer landing,whole,Gly-AMC,3,13380.15349,185457.26,NA,NA,NA,1,2,1073.151245,12.46809669,NA
405,AMC,volunteer landing,whole,Pyr-AMC,1,513.5023256,151888.09,NA,NA,NA,1,2,1073.151245,0.478499492,NA
406,AMC,volunteer landing,whole,Pyr-AMC,2,1646.846512,156019.51,NA,NA,NA,1,2,1073.151245,1.534589387,NA
407,AMC,volunteer landing,whole,Pyr-AMC,3,633.1116279,138756.14,NA,NA,NA,1,2,1073.151245,0.589955638,NA
408,AMC,volunteer landing,whole,Pyr-AMC,k,-460.772093,155075.17,NA,NA,NA,1,2,1073.151245,-0.42936361,NA
409,AMC,volunteer landing,whole,Arg-AMC,3,8057.944186,99013.88,NA,NA,NA,1,2,1073.151245,7.508675244,NA
410,AMC,volunteer landing,whole,Leu-AMC,1,50675.88837,147172.29,NA,NA,NA,1,2,1073.151245,47.22157162,NA
411,AMC,volunteer landing,whole,Leu-AMC,2,53904.90698,154191.6,NA,NA,NA,1,2,1073.151245,50.2304845,NA
412,AMC,volunteer landing,whole,Leu-AMC,3,49723.57674,144253.62,NA,NA,NA,1,2,1073.151245,46.33417421,NA
413,AMC,volunteer landing,whole,GGR-AMC,1,1901.344186,198135.68,NA,NA,NA,1,2,1073.151245,1.771739254,NA
414,AMC,volunteer landing,whole,GGR-AMC,2,2623.84186,198734.75,NA,NA,NA,1,2,1073.151245,2.444987948,NA
415,AMC,volunteer landing,whole,GGR-AMC,3,2416.939535,198069.62,NA,NA,NA,1,2,1073.151245,2.252189098,NA
416,AMC,volunteer landing,whole,GGR-AMC,k,-2789.944186,185989.1,NA,NA,NA,1,2,1073.151245,-2.599767926,NA
417,MUB,second creek,filter,MUB-gluco,1,1514.651163,4096.18,NA,NA,NA,1,2,77.801805,19.46807227,NA
418,MUB,second creek,filter,MUB-gluco,2,1731.139535,4312.62,NA,NA,NA,1,2,77.801805,22.25063461,NA
419,MUB,second creek,filter,MUB-gluco,3,1500.286364,4054.82,NA,NA,NA,1,2,77.801805,19.28343904,NA
420,MUB,second creek,filter,MUB-gluco,k,-47.1627907,2245.09,NA,NA,NA,1,2,77.801805,-0.606191472,NA
421,MUB,second creek,filter,MUB-Phos,1,5797.909091,51582.47,NA,NA,NA,1,2,77.801805,74.52152416,NA
422,MUB,second creek,filter,MUB-Phos,2,10693.47907,52919.42,NA,NA,NA,1,2,77.801805,137.4451283,NA
423,MUB,second creek,filter,MUB-Phos,3,9114.097674,50741.89,NA,NA,NA,1,2,77.801805,117.1450672,NA
424,MUB,second creek,filter,MUB-Phos,k,1214.972093,44890.18,NA,NA,NA,1,2,77.801805,15.61624557,NA
425,MUB,second creek,whole,MUB-gluco,1,2376.223256,5069.04,NA,NA,NA,1,2,76.150405,31.20434167,NA
426,MUB,second creek,whole,MUB-gluco,2,2521.060465,4961.72,NA,NA,NA,1,2,76.150405,33.10633036,NA
427,MUB,second creek,whole,MUB-gluco,3,2057.218605,4782.33,NA,NA,NA,1,2,76.150405,27.01520241,NA
428,MUB,second creek,whole,MUB-gluco,k,-8.863636364,2096.62,NA,NA,NA,1,2,76.150405,-0.116396444,NA
429,MUB,second creek,whole,MUB-Phos,1,11754.23721,50241.91,NA,NA,NA,1,2,76.150405,154.3555443,NA
