treatment,sub,rep,rfu,time,date,day ,exp.time,exp.date,fluorophore
C,3,3,120994.44,12:13,2/22/17,15,9:41,2/22/17,AMC
C,1,3,121245.43,13:33,2/10/17,3,11:32,2/10/17,AMC
E,3,2,121351.61,13:17,2/8/17,1,11:22,2/8/17,AMC
E,3,1,121482.77,10:44,2/15/17,8,9:58,2/15/17,AMC
A,3,3,121516.09,12:27,2/8/17,1,11:22,2/8/17,AMC
E,3,1,121560.06,11:23,2/13/17,6,10:08,2/13/17,AMC
A,3,1,121592.91,11:59,2/8/17,1,11:22,2/8/17,AMC
C,3,3,121670.98,13:09,2/20/17,13,11:01,2/20/17,AMC
A,1,1,121720.55,12:02,2/20/17,13,11:01,2/20/17,AMC
E,3,2,121731.44,12:31,2/22/17,15,9:41,2/22/17,AMC
D,3,2,121809.9,13:09,2/20/17,13,11:01,2/20/17,AMC
D,3,3,121845.23,12:53,2/9/17,2,10:44,2/9/17,AMC
E,3,3,121857.72,10:44,2/15/17,8,9:58,2/15/17,AMC
F,3,2,122034,13:13,2/20/17,13,11:01,2/20/17,AMC
F,3,1,122255.99,12:32,2/22/17,15,9:41,2/22/17,AMC
B,3,2,122322.83,12:09,2/13/17,6,10:08,2/13/17,AMC
F,3,3,122327.56,12:33,2/22/17,15,9:41,2/22/17,AMC
F,2,3,122348.69,12:17,2/13/17,6,10:08,2/13/17,AMC
E,1,1,122418.1,13:15,2/8/17,1,11:22,2/8/17,AMC
D,3,3,122523.24,12:33,2/8/17,1,11:22,2/8/17,AMC
F,1,1,122662.21,10:45,2/15/17,8,9:58,2/15/17,AMC
B,3,3,122676.69,13:32,2/10/17,3,11:32,2/10/17,AMC
B,3,3,123032.6,12:47,2/9/17,2,10:44,2/9/17,AMC
A,1,1,123057.24,10:36,2/15/17,8,9:58,2/15/17,AMC
D,3,1,123095.39,13:15,2/9/17,2,10:44,2/9/17,AMC
F,3,2,123244.48,12:19,2/22/17,15,9:41,2/22/17,AMC
E,1,2,123295.35,13:15,2/8/17,1,11:22,2/8/17,AMC
C,2,1,123338.64,12:10,2/13/17,6,10:08,2/13/17,AMC
D,3,3,123373.36,10:34,2/22/17,15,9:41,2/22/17,AMC
E,3,2,123420.07,10:44,2/15/17,8,9:58,2/15/17,AMC
D,3,1,123480.39,11:21,2/13/17,6,10:08,2/13/17,AMC
B,3,1,123610.37,13:32,2/10/17,3,11:32,2/10/17,AMC
F,2,1,123778.34,11:17,2/20/17,13,11:01,2/20/17,AMC
B,3,2,123792.07,13:10,2/9/17,2,10:44,2/9/17,AMC
B,1,3,124128.05,13:31,2/10/17,3,11:32,2/10/17,AMC
A,1,3,124247.03,10:31,2/22/17,15,9:41,2/22/17,AMC
D,3,3,124258.77,11:22,2/15/17,8,9:58,2/15/17,AMC
C,3,1,124259.1,12:04,2/20/17,13,11:01,2/20/17,AMC
A,1,2,124512.78,11:47,2/9/17,2,10:44,2/9/17,AMC
C,2,3,124541.09,12:03,2/8/17,1,11:22,2/8/17,AMC
B,1,3,124594.25,13:08,2/9/17,2,10:44,2/9/17,AMC
C,3,2,124691.06,11:38,2/20/17,13,11:01,2/20/17,AMC
B,3,2,124932.41,13:07,2/20/17,13,11:01,2/20/17,AMC
B,3,1,125441.54,13:09,2/8/17,1,11:22,2/8/17,AMC
D,3,1,125476.39,13:14,2/8/17,1,11:22,2/8/17,AMC
B,1,1,125648.11,13:30,2/10/17,3,11:32,2/10/17,AMC
E,1,3,125738.59,13:36,2/10/17,3,11:32,2/10/17,AMC
F,1,1,125831.02,13:16,2/10/17,3,11:32,2/10/17,AMC
C,3,3,125911.6,10:41,2/15/17,8,9:58,2/15/17,AMC
C,3,3,126088.74,12:26,2/22/17,15,9:41,2/22/17,AMC
E,3,1,126182.53,13:17,2/8/17,1,11:22,2/8/17,AMC
